nr1,name,nr2
24, Bright Yellow,m1
106, Bright Orange,m2
21, Bright Red,m3
23, Bright Blue,m4
321, Dark Azur,m5
326, Spr. Yellowish Green,m6
37, Bright Green,m7
119, Bright Yel. Green,m8
192, Reddish Brown,m9
18, Nougat,m10
1, White,m11
329, White Glow,m12
226, Cool Yellow,m13
325, Lavender,m23
222, Light Purple,m14
324, Med. Lavender,m15
102, Medium Blue,m16
322, Medium Azur,m17
323, Aqua,m18
5, Brick Yellow,m19
283, Light Nougat,m20
191, Flame Yel. Orange,m21
124, Bright Red Violet,m22
212, Light Royal Blue,m24
151, Sand Green,m25
138, Sand Yellow,m26
194, Med. Stone Grey,m27
268, Medium Lilac,m28
135, Sand Blue,m29
28, Dark Green,m30
330, Olive Green,m31
312, Medium Nougat,m32
38, Dark Orange,m33
199, Dark Stone Grey,m34
154, New dark Red,m35
140, Earth Blue,m36
141, Earth Green,m37
308, Dark Brown,m38
26, Black,m39
